Date,portfolio_return
2019-01-31,0.008263381153873262
2019-02-28,0.002030342984301603
2019-03-31,-0.0008366886644962657
2019-04-30,-0.002173705753550137
2019-05-31,-0.012901825097337838
2019-06-30,0.006013254357869258
2019-07-31,0.0006500723948978937
2019-08-31,0.001295925454949609
2019-09-30,0.003704153320051473
2019-10-31,-0.0006457902725117703
2019-11-30,-0.011332171457368978
2019-12-31,-0.004471334927492743
2020-01-31,0.00017928478484896537
2020-02-29,0.008858107291701112
2020-03-31,0.004047578487013537
2020-04-30,-0.0012906354565024314
2020-05-31,-0.014592731094839162
2020-06-30,0.0046724018085257946
2020-07-31,0.0022942753740018418
2020-08-31,-0.011516094552101452
2020-09-30,-0.011673287634106577
2020-10-31,0.005495843161894554
2020-11-30,-0.022424206714912853
2020-12-31,0.021308926885392765
2021-01-31,0.00043904134023176056
2021-02-28,0.005795014874736992
2021-03-31,0.004609234533626161
2021-04-30,-0.000719775001632228
2021-05-31,-0.004577595154136138
2021-06-30,-0.004276159177182159
2021-07-31,0.002005663293287885
2021-08-31,0.008449485148140035
2021-09-30,-0.0049165686585529444
2021-10-31,-0.022425209019485526
2021-11-30,0.004293741105013682
2021-12-31,0.00523022668984896
2022-01-31,-0.006259170289469651
2022-02-28,-0.021574908495987866
2022-03-31,0.025388587402696672
2022-04-30,0.014112314685895022
2022-05-31,-0.001425061388949933
2022-06-30,-0.021357371627266808
2022-07-31,0.005061252866914279
2022-08-31,-0.0020606730513719196
2022-09-30,-0.004563449234773476
2022-10-31,0.007693206973634181
2022-11-30,0.01622465463627809
2022-12-31,-0.003224729586604247
2023-01-31,-0.001852075495955563
2023-02-28,-0.004292742798047922
2023-03-31,-0.008584336652360247
2023-04-30,0.001415252998191896
2023-05-31,-0.015317910302481419
2023-06-30,-0.0073182327976641925
2023-07-31,-0.002050585064138577
2023-08-31,-0.012841154073619188
2023-09-30,-0.01138142736419756
2023-10-31,-0.00834410952243192
2023-11-30,0.01093730872271026
2023-12-31,-0.00032954807587826096
